red,green,blue,lum
R=234,G=115,B=22,L=667
R=236,G=127,B=24,L=669
R=227,G=122,B=23,L=667
R=204,G=117,B=22,L=667
R=189,G=113,B=21,L=666
R=180,G=105,B=18,L=664
R=162,G=99,B=18,L=663
R=149,G=89,B=18,L=660
R=146,G=89,B=15,L=661
R=128,G=80,B=14,L=659
R=118,G=78,B=15,L=658
R=113,G=69,B=14,L=657
R=109,G=70,B=14,L=657
R=100,G=64,B=13,L=655
R=99,G=65,B=13,L=656
R=109,G=69,B=14,L=657
R=136,G=86,B=18,L=661
R=156,G=93,B=17,L=661
R=167,G=103,B=18,L=662
R=184,G=109,B=20,L=665
R=196,G=113,B=20,L=665
R=211,G=118,B=24,L=668
R=229,G=120,B=23,L=667
R=232,G=120,B=22,L=667
R=236,G=117,B=23,L=669
R=229,G=110,B=21,L=667
R=229,G=110,B=22,L=667
R=225,G=111,B=22,L=667
R=226,G=111,B=21,L=667
R=229,G=111,B=21,L=667
R=230,G=111,B=23,L=667
R=236,G=116,B=26,L=668
R=230,G=121,B=23,L=667
R=208,G=119,B=21,L=665
R=204,G=116,B=20,L=666
R=196,G=115,B=21,L=666
R=186,G=110,B=21,L=664
R=176,G=102,B=21,L=662
R=171,G=107,B=21,L=665
R=155,G=93,B=16,L=661
R=135,G=86,B=14,L=660
R=125,G=77,B=16,L=658
R=116,G=74,B=14,L=658
R=111,G=71,B=15,L=657
R=111,G=68,B=10,L=657
R=101,G=65,B=11,L=657
R=92,G=60,B=11,L=655
R=86,G=54,B=12,L=655
R=91,G=60,B=13,L=656
R=117,G=74,B=13,L=657
R=0,G=83,B=16,L=659
R=153,G=93,B=17,L=662
R=159,G=95,B=18,L=661
R=177,G=104,B=20,L=662
R=196,G=119,B=22,L=667
R=219,G=122,B=23,L=668
R=234,G=121,B=23,L=668
R=234,G=121,B=23,L=668
R=234,G=124,B=23,L=669
R=233,G=118,B=21,L=666
R=236,G=116,B=23,L=669
R=233,G=112,B=20,L=666
R=232,G=118,B=22,L=668
R=236,G=116,B=22,L=668
R=233,G=114,B=23,L=667
R=238,G=124,B=24,L=669
R=220,G=120,B=23,L=667
R=171,G=104,B=21,L=664
R=166,G=102,B=18,L=663
R=158,G=96,B=17,L=662
R=140,G=88,B=17,L=661
R=135,G=85,B=16,L=660
R=128,G=82,B=16,L=659
R=101,G=65,B=13,L=656
R=98,G=67,B=13,L=658
R=87,G=56,B=10,L=654
R=75,G=48,B=9,L=653
R=77,G=50,B=9,L=654
R=93,G=59,B=12,L=655
R=115,G=72,B=12,L=658
R=141,G=89,B=17,L=660
R=167,G=99,B=14,L=661
R=181,G=107,B=19,L=664
R=196,G=114,B=22,L=666
R=200,G=116,B=22,L=666
R=222,G=121,B=22,L=667
R=228,G=121,B=22,L=667
R=235,G=115,B=21,L=667
R=236,G=114,B=22,L=667
R=237,G=116,B=22,L=668
R=235,G=120,B=22,L=667
R=213,G=120,B=23,L=667
R=192,G=112,B=21,L=665
R=179,G=107,B=20,L=664
R=166,G=99,B=18,L=662
R=149,G=92,B=17,L=660
R=147,G=91,B=17,L=661
R=149,G=92,B=17,L=662
R=145,G=90,B=16,L=661
R=137,G=84,B=14,L=659
R=139,G=86,B=16,L=660
R=123,G=78,B=15,L=658
R=120,G=74,B=17,L=658
R=118,G=72,B=11,L=658
R=117,G=75,B=15,L=659
R=103,G=66,B=14,L=657
R=89,G=60,B=11,L=655
R=98,G=63,B=11,L=656
R=0,G=81,B=18,L=658
R=164,G=97,B=16,L=662
R=178,G=105,B=19,L=663
R=210,G=115,B=23,L=666
R=219,G=119,B=23,L=667
R=224,G=120,B=23,L=667
R=232,G=120,B=22,L=667
R=237,G=120,B=24,L=669
R=236,G=118,B=23,L=668
