red,green,blue,lum
R=225,G=45,B=35,L=664
R=231,G=43,B=36,L=664
R=234,G=42,B=36,L=664
R=229,G=41,B=39,L=663
R=221,G=40,B=33,L=663
R=222,G=40,B=34,L=663
R=225,G=38,B=33,L=663
R=222,G=39,B=31,L=662
R=223,G=41,B=33,L=664
R=214,G=39,B=33,L=664
R=212,G=39,B=33,L=663
R=233,G=46,B=37,L=665
R=231,G=47,B=37,L=665
R=219,G=44,B=37,L=664
R=174,G=38,B=29,L=660
R=172,G=36,B=29,L=659
R=154,G=32,B=27,L=657
R=129,G=29,B=22,L=656
R=126,G=27,B=22,L=656
R=118,G=26,B=20,L=656
R=103,G=28,B=20,L=656
R=103,G=24,B=18,L=655
R=92,G=20,B=17,L=653
R=76,G=20,B=18,L=653
R=69,G=15,B=11,L=651
R=59,G=15,B=11,L=651
R=53,G=14,B=12,L=651
R=53,G=15,B=11,L=651
R=53,G=13,B=10,L=651
R=40,G=9,B=8,L=649
R=47,G=12,B=9,L=650
R=70,G=14,B=17,L=652
R=79,G=19,B=15,L=652
R=96,G=23,B=17,L=654
R=108,G=27,B=20,L=655
R=127,G=27,B=22,L=655
R=160,G=35,B=28,L=659
R=162,G=34,B=27,L=658
R=169,G=36,B=28,L=659
R=188,G=37,B=30,L=659
R=207,G=40,B=31,L=661
R=211,G=45,B=36,L=664
R=211,G=44,B=36,L=663
R=223,G=43,B=36,L=663
R=229,G=43,B=37,L=664
R=234,G=44,B=36,L=665
R=230,G=43,B=37,L=664
R=233,G=42,B=35,L=665
R=229,G=41,B=35,L=663
R=229,G=42,B=34,L=663
R=237,G=42,B=33,L=665
R=224,G=44,B=36,L=664
R=202,G=40,B=33,L=661
R=167,G=34,B=25,L=658
R=153,G=34,B=27,L=659
R=143,G=33,B=24,L=658
R=139,G=33,B=24,L=658
R=138,G=30,B=24,L=657
R=131,G=29,B=22,L=657
R=125,G=30,B=22,L=655
R=128,G=31,B=22,L=657
R=130,G=30,B=24,L=657
R=164,G=34,B=26,L=658
R=191,G=42,B=30,L=661
R=207,G=44,B=36,L=662
R=220,G=45,B=36,L=664
R=221,G=42,B=34,L=662
R=226,G=45,B=35,L=664
R=230,G=45,B=36,L=665
R=232,G=43,B=35,L=664
R=232,G=41,B=34,L=663
R=234,G=42,B=35,L=664
R=232,G=42,B=35,L=664
R=231,G=43,B=36,L=665
R=227,G=38,B=33,L=662
R=228,G=40,B=34,L=663
R=228,G=40,B=32,L=662
R=230,G=41,B=37,L=663
R=226,G=42,B=35,L=661
R=229,G=41,B=37,L=663
R=225,G=44,B=37,L=664
R=206,G=45,B=33,L=663
R=197,G=41,B=33,L=661
